"Region" "Ad" "Subject" "Y"
"1" "NE" "1" "1" 0
"2" "NE" "1" "2" 1
"3" "NE" "1" "3" 1
"4" "NE" "1" "4" 0
"5" "NE" "1" "5" 0
"6" "NE" "1" "6" 0
"7" "NE" "1" "7" 0
"8" "NE" "1" "8" 0
"9" "NE" "1" "9" 0
"10" "NE" "1" "10" 0
"11" "NE" "1" "11" 0
"12" "NE" "1" "12" 0
"13" "NE" "1" "13" 0
"14" "NE" "1" "14" 1
"15" "NE" "1" "15" 1
"16" "NE" "1" "16" 0
"17" "NE" "1" "17" 0
"18" "NE" "1" "18" 0
"19" "NE" "1" "19" 0
"20" "NE" "1" "20" 0
"21" "NE" "1" "21" 1
"22" "NE" "1" "22" 0
"23" "NE" "1" "23" 0
"24" "NE" "1" "24" 0
"25" "NE" "1" "25" 0
"26" "NE" "1" "26" 0
"27" "NE" "1" "27" 0
"28" "NE" "1" "28" 0
"29" "NE" "1" "29" 1
"30" "NE" "1" "30" 0
"31" "NE" "1" "31" 0
"32" "NE" "1" "32" 0
"33" "NE" "1" "33" 0
"34" "NE" "1" "34" 1
"35" "NE" "1" "35" 1
"36" "NE" "1" "36" 0
"37" "NE" "1" "37" 0
"38" "NE" "1" "38" 0
"39" "NE" "1" "39" 1
"40" "NE" "1" "40" 1
"41" "NE" "1" "41" 1
"42" "NE" "1" "42" 0
"43" "NE" "1" "43" 0
"44" "NE" "1" "44" 0
"45" "NE" "1" "45" 0
"46" "NE" "1" "46" 0
"47" "NE" "1" "47" 0
"48" "NE" "1" "48" 0
"49" "NE" "1" "49" 0
"50" "NE" "1" "50" 0
"51" "NE" "1" "51" 0
"52" "NE" "1" "52" 0
"53" "NE" "1" "53" 0
"54" "NE" "1" "54" 0
"55" "NE" "1" "55" 0
"56" "NE" "1" "56" 0
"57" "NE" "1" "57" 0
"58" "NE" "1" "58" 0
"59" "NE" "1" "59" 0
"60" "NE" "1" "60" 1
"61" "NE" "1" "61" 1
"62" "NE" "1" "62" 0
"63" "NE" "1" "63" 0
"64" "NE" "1" "64" 0
"65" "NE" "1" "65" 1
"66" "NE" "1" "66" 0
"67" "NE" "1" "67" 0
"68" "NE" "1" "68" 0
"69" "NE" "1" "69" 0
"70" "NE" "1" "70" 1
"71" "NE" "1" "71" 1
"72" "NE" "1" "72" 0
"73" "NE" "1" "73" 1
"74" "NE" "1" "74" 0
"75" "NE" "1" "75" 1
"76" "NE" "1" "76" 1
"77" "NE" "1" "77" 0
"78" "NE" "1" "78" 1
"79" "NE" "1" "79" 0
"80" "NE" "1" "80" 0
"81" "NE" "1" "81" 1
"82" "NE" "1" "82" 1
"83" "NE" "1" "83" 0
"84" "NE" "1" "84" 1
"85" "NE" "1" "85" 0
"86" "NE" "1" "86" 0
"87" "NE" "1" "87" 1
"88" "NE" "1" "88" 0
"89" "NE" "1" "89" 1
"90" "NE" "1" "90" 0
"91" "NE" "1" "91" 0
"92" "NE" "1" "92" 1
"93" "NE" "1" "93" 0
"94" "NE" "1" "94" 0
"95" "NE" "1" "95" 0
"96" "NE" "1" "96" 0
"97" "NE" "1" "97" 0
"98" "NE" "1" "98" 0
"99" "NE" "1" "99" 0
"100" "NE" "1" "100" 0
"101" "NE" "1" "101" 1
"102" "NE" "1" "102" 0
"103" "NE" "1" "103" 0
"104" "NE" "1" "104" 0
"105" "NE" "1" "105" 1
"106" "NE" "1" "106" 0
"107" "NE" "1" "107" 0
"108" "NE" "1" "108" 0
"109" "NE" "1" "109" 0
"110" "NE" "1" "110" 0
"111" "NE" "1" "111" 0
"112" "NE" "1" "112" 0
"113" "NE" "1" "113" 1
"114" "NE" "1" "114" 0
"115" "NE" "1" "115" 0
"116" "NE" "1" "116" 1
"117" "NE" "1" "117" 1
"118" "NE" "1" "118" 1
"119" "NE" "1" "119" 0
"120" "NE" "1" "120" 1
"121" "NE" "1" "121" 0
"122" "NE" "1" "122" 0
"123" "NE" "1" "123" 0
"124" "NE" "1" "124" 1
"125" "NE" "1" "125" 1
"126" "NE" "1" "126" 1
"127" "NE" "1" "127" 0
"128" "NE" "1" "128" 0
"129" "NE" "1" "129" 1
"130" "NE" "1" "130" 1
"131" "NE" "1" "131" 1
"132" "NE" "1" "132" 1
"133" "NE" "1" "133" 0
"134" "NE" "1" "134" 1
"135" "NE" "1" "135" 1
"136" "NE" "1" "136" 1
"137" "NE" "1" "137" 0
"138" "NE" "1" "138" 1
"139" "NE" "1" "139" 0
"140" "NE" "1" "140" 0
"141" "NE" "1" "141" 0
"142" "NE" "1" "142" 0
"143" "NE" "1" "143" 0
"144" "NE" "1" "144" 0
"145" "NE" "1" "145" 0
"146" "NE" "1" "146" 0
"147" "NE" "1" "147" 0
"148" "NE" "1" "148" 0
"149" "NE" "1" "149" 0
"150" "NE" "1" "150" 0
"151" "NE" "1" "151" 1
"152" "NE" "1" "152" 0
"153" "NE" "1" "153" 0
"154" "NE" "1" "154" 0
"155" "NE" "1" "155" 1
"156" "NE" "1" "156" 1
"157" "NE" "1" "157" 0
"158" "NE" "1" "158" 0
"159" "NE" "1" "159" 0
"160" "NE" "1" "160" 0
"161" "NE" "1" "161" 1
"162" "NE" "1" "162" 1
"163" "NE" "1" "163" 0
"164" "NE" "1" "164" 1
"165" "NE" "1" "165" 0
"166" "NE" "1" "166" 0
"167" "NE" "1" "167" 0
"168" "NE" "1" "168" 0
"169" "NE" "1" "169" 0
"170" "NE" "1" "170" 0
"171" "NE" "1" "171" 0
"172" "NE" "1" "172" 0
"173" "NE" "1" "173" 1
"174" "NE" "1" "174" 1
"175" "NE" "1" "175" 1
"176" "NE" "1" "176" 0
"177" "NE" "1" "177" 0
"178" "NE" "1" "178" 0
"179" "NE" "1" "179" 0
"180" "NE" "1" "180" 0
"181" "NE" "1" "181" 0
"182" "NE" "1" "182" 1
"183" "NE" "1" "183" 0
"184" "NE" "1" "184" 0
"185" "NE" "1" "185" 0
"186" "NE" "1" "186" 0
"187" "NE" "1" "187" 0
"188" "NE" "1" "188" 0
"189" "NE" "1" "189" 0
"190" "NE" "1" "190" 0
"191" "NE" "1" "191" 1
"192" "NE" "1" "192" 0
"193" "NE" "1" "193" 0
"194" "NE" "1" "194" 0
"195" "NE" "1" "195" 0
"196" "NE" "1" "196" 1
"197" "NE" "1" "197" 0
"198" "NE" "1" "198" 1
"199" "NE" "1" "199" 0
"200" "NE" "1" "200" 0
"201" "NE" "1" "201" 1
"202" "NE" "1" "202" 1
"203" "NE" "1" "203" 0
"204" "NE" "1" "204" 1
"205" "NE" "1" "205" 0
"206" "NE" "1" "206" 1
"207" "NE" "1" "207" 0
"208" "NE" "1" "208" 0
"209" "NE" "1" "209" 0
"210" "NE" "1" "210" 1
"211" "NE" "1" "211" 0
"212" "NE" "1" "212" 0
"213" "NE" "1" "213" 0
"214" "NE" "1" "214" 1
"215" "NE" "1" "215" 1
"216" "NE" "1" "216" 0
"217" "NE" "1" "217" 1
"218" "NE" "1" "218" 0
"219" "NE" "1" "219" 0
"220" "NE" "1" "220" 0
"221" "NE" "1" "221" 0
"222" "NE" "1" "222" 1
"223" "NE" "1" "223" 1
"224" "NE" "1" "224" 0
"225" "NE" "1" "225" 0
"226" "NE" "1" "226" 1
"227" "NE" "1" "227" 0
"228" "NE" "1" "228" 1
"229" "NE" "1" "229" 0
"230" "NE" "1" "230" 1
"231" "NE" "1" "231" 0
"232" "NE" "1" "232" 0
"233" "NE" "1" "233" 0
"234" "NE" "1" "234" 0
"235" "NE" "1" "235" 0
"236" "NE" "1" "236" 0
"237" "NE" "1" "237" 0
"238" "NE" "1" "238" 1
"239" "NE" "1" "239" 0
"240" "NE" "1" "240" 0
"241" "NE" "1" "241" 0
"242" "NE" "1" "242" 0
"243" "NE" "1" "243" 0
"244" "NE" "1" "244" 0
"245" "NE" "1" "245" 0
"246" "NE" "1" "246" 0
"247" "NE" "1" "247" 1
"248" "NE" "1" "248" 0
"249" "NE" "1" "249" 0
"250" "NE" "1" "250" 1
"251" "NE" "1" "251" 0
"252" "NE" "1" "252" 1
"253" "NE" "1" "253" 0
"254" "NE" "1" "254" 0
"255" "NE" "1" "255" 1
"256" "NE" "1" "256" 1
"257" "NE" "1" "257" 0
"258" "NE" "1" "258" 1
"259" "NE" "1" "259" 0
"260" "NE" "1" "260" 1
"261" "NE" "1" "261" 1
"262" "NE" "1" "262" 1
"263" "NE" "1" "263" 1
"264" "NE" "1" "264" 0
"265" "NE" "1" "265" 0
"266" "NE" "1" "266" 1
"267" "NE" "1" "267" 0
"268" "NE" "1" "268" 1
"269" "NE" "1" "269" 0
"270" "NE" "1" "270" 0
"271" "NE" "1" "271" 0
"272" "NE" "1" "272" 0
"273" "NE" "1" "273" 1
"274" "NE" "1" "274" 0
"275" "NE" "1" "275" 0
"276" "NE" "1" "276" 0
"277" "NE" "1" "277" 1
"278" "NE" "1" "278" 1
"279" "NE" "1" "279" 0
"280" "NE" "1" "280" 1
"281" "NE" "1" "281" 0
"282" "NE" "1" "282" 0
"283" "NE" "1" "283" 0
"284" "NE" "1" "284" 0
"285" "NE" "1" "285" 1
"286" "NE" "1" "286" 0
"287" "NE" "1" "287" 1
"288" "NE" "1" "288" 0
"289" "NE" "1" "289" 0
"290" "NE" "1" "290" 0
"291" "NE" "1" "291" 0
"292" "NE" "1" "292" 0
"293" "NE" "1" "293" 0
"294" "NE" "1" "294" 1
"295" "NE" "1" "295" 1
"296" "NE" "1" "296" 1
"297" "NE" "1" "297" 1
"298" "NE" "1" "298" 0
"299" "NE" "1" "299" 0
"300" "NE" "1" "300" 0
"301" "NE" "1" "301" 1
"302" "NE" "1" "302" 0
"303" "NE" "1" "303" 0
"304" "NE" "1" "304" 1
"305" "NE" "1" "305" 0
"306" "NE" "1" "306" 1
"307" "NE" "1" "307" 1
"308" "NE" "1" "308" 0
"309" "NE" "1" "309" 1
"310" "NE" "1" "310" 1
"311" "NE" "1" "311" 0
"312" "NE" "1" "312" 0
"313" "NE" "1" "313" 0
"314" "NE" "1" "314" 0
"315" "NE" "1" "315" 0
"316" "NE" "1" "316" 0
"317" "NE" "1" "317" 0
"318" "NE" "1" "318" 1
"319" "NE" "1" "319" 0
"320" "NE" "1" "320" 1
"321" "NE" "1" "321" 0
"322" "NE" "1" "322" 0
"323" "NE" "1" "323" 0
"324" "NE" "1" "324" 0
"325" "NE" "1" "325" 0
"326" "NE" "1" "326" 1
"327" "NE" "1" "327" 1
"328" "NE" "1" "328" 1
"329" "NE" "1" "329" 1
"330" "NE" "1" "330" 0
"331" "NE" "1" "331" 0
"332" "NE" "1" "332" 1
"333" "NE" "1" "333" 0
"334" "NE" "1" "334" 0
"335" "NE" "1" "335" 1
"336" "NE" "1" "336" 1
"337" "NE" "1" "337" 0
"338" "NE" "1" "338" 0
"339" "NE" "1" "339" 0
"340" "NE" "1" "340" 0
"341" "NE" "1" "341" 0
"342" "NE" "1" "342" 0
"343" "NE" "1" "343" 1
"344" "NE" "1" "344" 0
"345" "NE" "1" "345" 0
"346" "NE" "1" "346" 0
"347" "NE" "1" "347" 0
"348" "NE" "1" "348" 0
"349" "NE" "1" "349" 0
"350" "NE" "1" "350" 1
"351" "NE" "1" "351" 1
"352" "NE" "1" "352" 1
"353" "NE" "1" "353" 0
"354" "NE" "1" "354" 1
"355" "NE" "1" "355" 1
"356" "NE" "1" "356" 0
"357" "NE" "1" "357" 1
"358" "NE" "1" "358" 0
"359" "NE" "1" "359" 1
"360" "NE" "1" "360" 0
"361" "NE" "1" "361" 0
"362" "NE" "1" "362" 0
"363" "NE" "1" "363" 0
"364" "NE" "1" "364" 0
"365" "NE" "1" "365" 1
"366" "NE" "1" "366" 0
"367" "NE" "1" "367" 1
"368" "NE" "1" "368" 0
"369" "NE" "1" "369" 0
"370" "NE" "1" "370" 0
"371" "NE" "1" "371" 0
"372" "NE" "1" "372" 0
"373" "NE" "1" "373" 0
"374" "NE" "1" "374" 1
"375" "NE" "1" "375" 0
"376" "NE" "1" "376" 0
"377" "NE" "1" "377" 0
"378" "NE" "1" "378" 1
"379" "NE" "1" "379" 0
"380" "NE" "1" "380" 0
"381" "NE" "1" "381" 0
"382" "NE" "1" "382" 0
"383" "NE" "1" "383" 0
"384" "NE" "1" "384" 1
"385" "NE" "1" "385" 1
"386" "NE" "1" "386" 1
"387" "NE" "1" "387" 0
"388" "NE" "1" "388" 1
"389" "NE" "1" "389" 1
"390" "NE" "1" "390" 0
"391" "NE" "1" "391" 0
"392" "NE" "1" "392" 1
"393" "NE" "1" "393" 0
"394" "NE" "1" "394" 0
"395" "NE" "1" "395" 0
"396" "NE" "1" "396" 0
"397" "NE" "1" "397" 0
"398" "NE" "1" "398" 0
"399" "NE" "1" "399" 0
"400" "NE" "1" "400" 0
"401" "NE" "1" "401" 1
"402" "NE" "1" "402" 0
"403" "NE" "1" "403" 0
"404" "NE" "1" "404" 1
"405" "NE" "1" "405" 1
"406" "NE" "1" "406" 1
"407" "NE" "1" "407" 0
"408" "NE" "1" "408" 1
"409" "NE" "1" "409" 0
"410" "NE" "1" "410" 0
"411" "NE" "1" "411" 1
"412" "NE" "1" "412" 0
"413" "NE" "1" "413" 0
"414" "NE" "1" "414" 0
"415" "NE" "1" "415" 0
"416" "NE" "1" "416" 0
"417" "NE" "1" "417" 0
"418" "NE" "1" "418" 0
"419" "NE" "1" "419" 0
"420" "NE" "1" "420" 0
"421" "NE" "1" "421" 0
"422" "NE" "1" "422" 0
"423" "NE" "1" "423" 0
"424" "NE" "1" "424" 0
"425" "NE" "1" "425" 0
"426" "NE" "1" "426" 0
"427" "NE" "1" "427" 0
"428" "NE" "1" "428" 0
"429" "NE" "1" "429" 1
"430" "NE" "1" "430" 1
"431" "NE" "1" "431" 1
"432" "NE" "1" "432" 1
"433" "NE" "1" "433" 0
"434" "NE" "1" "434" 1
"435" "NE" "1" "435" 0
"436" "NE" "1" "436" 0
"437" "NE" "1" "437" 1
"438" "NE" "1" "438" 0
"439" "NE" "1" "439" 0
"440" "NE" "1" "440" 0
"441" "NE" "1" "441" 0
"442" "NE" "1" "442" 0
"443" "NE" "1" "443" 1
"444" "NE" "1" "444" 0
"445" "NE" "1" "445" 1
"446" "NE" "1" "446" 0
"447" "NE" "1" "447" 0
"448" "NE" "1" "448" 0
"449" "NE" "1" "449" 0
"450" "NE" "1" "450" 1
"451" "NE" "1" "451" 0
"452" "NE" "1" "452" 0
"453" "NE" "1" "453" 1
"454" "NE" "1" "454" 1
"455" "NE" "1" "455" 0
"456" "NE" "1" "456" 0
"457" "NE" "1" "457" 0
"458" "NE" "1" "458" 1
"459" "NE" "1" "459" 0
"460" "NE" "1" "460" 0
"461" "NE" "1" "461" 0
"462" "NE" "1" "462" 1
"463" "NE" "1" "463" 0
"464" "NE" "1" "464" 0
"465" "NE" "1" "465" 1
"466" "NE" "1" "466" 1
"467" "NE" "1" "467" 0
"468" "NE" "1" "468" 0
"469" "NE" "1" "469" 1
"470" "NE" "1" "470" 1
"471" "NE" "1" "471" 0
"472" "NE" "1" "472" 0
"473" "NE" "1" "473" 0
"474" "NE" "1" "474" 0
"475" "NE" "1" "475" 0
"476" "NE" "1" "476" 0
"477" "NE" "1" "477" 0
"478" "NE" "1" "478" 0
"479" "NE" "1" "479" 0
"480" "NE" "1" "480" 0
"481" "NE" "1" "481" 1
"482" "NE" "1" "482" 0
"483" "NE" "1" "483" 1
"484" "NE" "1" "484" 0
"485" "NE" "1" "485" 0
"486" "NE" "1" "486" 0
"487" "NE" "1" "487" 0
"488" "NE" "1" "488" 0
"489" "NE" "1" "489" 0
"490" "NE" "1" "490" 1
"491" "NE" "1" "491" 0
"492" "NE" "1" "492" 0
"493" "NE" "1" "493" 1
"494" "NE" "1" "494" 0
"495" "NE" "1" "495" 0
"496" "NE" "1" "496" 0
"497" "NE" "1" "497" 0
"498" "NE" "1" "498" 0
"499" "NE" "1" "499" 0
"500" "NE" "1" "500" 1
