"A" "B"
"1" 50.63 53.28
"2" 54.15 52.28
"3" 51.09 44.93
"4" 52.34 46.06
"5" 47.46 48.59
"6" 61.86 49.54
"7" 54.66 58.05
"8" 58.8 49.04
"9" 50.85 52.96
"10" 65.01 53.1
"11" 53.27 52.64
"12" 58.26 50.72
"13" 51.6 52.62
"14" 49.22 43.65
"15" 57.97 50.66
"16" 54.46 56.28
"17" 57.37 55.6
"18" 55.35 47.96
"19" 53.76 46.93
"20" 50.76 53.38
"21" 51.99 47.94
"22" 60.51 49.45
"23" 59.98 53.67
"24" 58.78 61.72
"25" 57.14 54.46
"26" 45.39 52.4
"27" 69.67 60.82
"28" 44.52 46.56
"29" 52.33 42.05
"30" 62.25 47.05
"31" 55.02 47.63
"32" 63.26 50.15
"33" 51.19 53.35
"34" 54.56 59.73
"35" 52.41 58.19
"36" 53.36 48.26
"37" 52.44 56.47
"38" 60.78 60.3
"39" 51 51.01
"40" 62.95 53.55
"41" 58.46 59.49
"42" 47.48 41.04
"43" 56.9 45.99
"44" 48.81 53.98
"45" 59.45 47.83
"46" 58.42 62.06
"47" 50.83 49.72
"48" 54.47 44.77
"49" 52.93 59.65
"50" 49.92 50.49
"51" 52.57 49.47
"52" 55.16 45.46
"53" 53.95 49.62
"54" 49 52.94
"55" 64.29 47.31
"56" 52.85 45.17
"57" 61.69 54.99
"58" 51.33 48.41
"59" 54.04 49.7
"60" 54.69 44.34
"61" 53.08 53.91
"62" 53.66 47.28
"63" 46.91 42.53
"64" 53.68 44.89
"65" 62.04 47.54
"66" 70.47 55.4
"67" 44.44 53.05
"68" 56.19 46.8
"69" 57.1 48.95
"70" 55.92 48.69
"71" 55.01 45.82
"72" 52.33 48.09
"73" 51.91 55.1
"74" 58.12 56.94
"75" 56.05 60.7
"76" 51.45 54.88
"77" 55.2 52.17
"78" 55.09 57.01
"79" 55.94 42.05
"80" 52.7 57.33
"81" 47.81 49.15
"82" 52.27 46.26
"83" 53.67 51.81
"84" 57.29 41.62
"85" 48.94 49.2
"86" 55.29 58.89
"87" 60.18 43.33
"88" 50.11 46.22
"89" 48.07 45.72
"90" 60.98 56.64
"91" 44.3 44.79
"92" 51.66 53.9
"93" 48.66 45.46
"94" 58.53 43.1
"95" 53.49 52.79
"96" 54.58 44.76
"97" 57.14 54.8
"98" 59.28 58.29
"99" 53.07 42.88
"100" 56.41 49.65
"101" 58.29 41.12
"102" 53.97 43.52
"103" 56.74 48.25
"104" 55.79 46.21
"105" 53.52 56.93
"106" 53.5 50.57
"107" 58.15 44.03
"108" 52.4 50.55
"109" 52.48 52.34
"110" 53.52 49.66
"111" 57.32 58.39
"112" 49.38 49.33
"113" 49.85 52.69
"114" 69.33 49.69
"115" 58.27 40.75
"116" 55.89 56.03
"117" 64.87 51.65
"118" 59.27 56.1
"119" 56.35 46.13
"120" 52.05 50.33
"121" 53.25 45.34
"122" 48.43 39.25
"123" 49.79 49.1
"124" 61.08 42.06
"125" 53.36 43.36
"126" 52.86 45.24
"127" 55.64 57.72
"128" 60.52 51.35
"129" 52.36 42.82
"130" 51.88 46.59
"131" 47.92 50.72
"132" 50.61 47.34
"133" 54.1 39.93
"134" 52.49 48.15
"135" 54.32 54.67
"136" 55.01 53.86
"137" 51.75 48.26
"138" 53.61 54.59
"139" 54.92 52.27
"140" 56.18 46.42
"141" 58.09 54.93
"142" 47.02 48.34
"143" 58.95 51.38
"144" 50.12 56.64
"145" 54.85 59.64
"146" 66.24 48.47
"147" 63.61 50.19
"148" 50.25 49.96
"149" 64.16 54.98
"150" 48.13 55.6
"151" 56.77 63.22
"152" 52.39 47.6
"153" 54.19 60.09
"154" 51.2 50.73
"155" 57.63 46.42
"156" 58.36 62.28
"157" 52.14 53.11
"158" 61.85 56.88
"159" 55.66 50.64
"160" 70.77 44.37
"161" 52.76 44.96
"162" 55.64 55.69
"163" 52.13 40.83
"164" 57.97 47.84
"165" 51.14 54.3
"166" 53.71 51.63
"167" 51.85 47.52
"168" 56.05 47.99
"169" 49.02 52.61
"170" 54.68 54.16
"171" 47.83 40.9
"172" 51.72 55.39
"173" 63.47 43.83
"174" 56.19 55.65
"175" 56.1 42.83
"176" 48.96 41.54
"177" 50.71 52.46
"178" 46.86 53.86
"179" 53.95 55.51
"180" 57.29 49.18
"181" 62.5 48.29
"182" 50.92 56.81
"183" 65.75 48.06
"184" 55.46 47.18
"185" 47.47 53.13
"186" 51.61 51.36
"187" 56.32 48.56
"188" 59.09 59.62
"189" 54.55 46.78
"190" 54.14 45.24
"191" 54.39 54.09
"192" 58.05 56.24
"193" 59.13 44.33
"194" 54.24 52.25
"195" 49.88 59.78
"196" 56.65 49.24
"197" 49.06 58.87
"198" 58.09 46.09
"199" 60.7 50.41
"200" 52.39 50.91
"201" 56.58 52.9
"202" 50.03 53.58
"203" 61.11 50.71
"204" 59.63 60
"205" 51.57 47.55
"206" 60.54 44.66
"207" 61.74 65.94
"208" 61.33 54.93
"209" 47.25 51.7
"210" 58.29 48.18
"211" 61.05 50.12
"212" 54.12 52.58
"213" 58.1 48.92
"214" 48.99 52.07
"215" 57.39 57.72
"216" 55.33 47.31
"217" 56.21 42.45
"218" 50.02 51.61
"219" 56.91 56.14
"220" 52.09 48.84
"221" 50.66 53.82
"222" 56.46 50.11
"223" 53.81 55.79
"224" 50.94 43.3
"225" 62.13 50.74
"226" 61.43 62.49
"227" 60.84 51.54
"228" 48.1 55.66
"229" 56.94 58.68
"230" 44.87 53.67
"231" 53.93 46.25
"232" 41.35 55.31
"233" 48.4 61.05
"234" 45.74 44
"235" 55.55 46.6
"236" 62.33 54.22
"237" 57.66 42.44
"238" 58.68 45.14
"239" 56.85 56.45
"240" 62.81 54.11
"241" 49.07 51.73
"242" 45.81 45.9
"243" 56.15 60.95
"244" 61.42 40.39
"245" 51.54 50.57
"246" 54 54.69
"247" 55.25 48.03
"248" 51.4 44.76
"249" 52.5 46.24
"250" 59.75 43.08
"251" 74.87 61.86
"252" 50.06 56.48
"253" 55.72 50.2
"254" 47.9 47.56
"255" 54.68 48.99
"256" 51.45 41.59
"257" 51.16 62.18
"258" 49.44 47.85
"259" 51.51 46.2
"260" 56.88 50.78
"261" 50.71 57.05
"262" 59.67 56.13
"263" 52.9 53.77
"264" 56.53 36.1
"265" 50.08 40.39
"266" 52.71 59.56
"267" 50.56 44.44
"268" 53.55 54.91
