A,B
2.893294572,5.737291891
3.286280979,4.717812405
5.229863951,4.564709815
2.187235371,4.544233099
2.864071463,5.46785828
2.662572251,5.171532541
1.514294633,5.062346804
1.648287572,6.521562183
1.49016075,4.086958372
2.300139085,5.066495541
3.947283995,3.652788559
2.216769565,6.062215572
1.483829108,6.167392517
3.343425176,4.67872347
4.029093254,5.832094869
4.258700159,4.646524857
4.030974527,6.590916645
2.397975263,4.962779119
4.40575813,4.754052625
3.354723082,5.661588626
2.73603843,6.054013437
2.830041148,4.290478344
3.025214456,4.013453712
4.237838423,5.806822411
4.053219585,4.42843926
2.936040661,5.255332371
3.718907404,4.309742188
4.30797223,5.10683466
2.311826386,3.880196189
2.882281829,4.881442198
1.655324906,4.116166645
3.990693626,3.124951948
3.206004979,5.715316722
3.121182318,4.827113161
3.490749208,4.710576039
2.974783768,5.068832618
3.043513299,5.718550594
2.827606807,5.105113107
2.95129043,4.780609504
2.120406044,4.182107795
2.427917097,4.433458877
2.302749727,5.602466091
3.845952097,5.779636638
3.727689301,5.197867366
4.392013503,5.325103137
3.993752248,4.561699001
3.842387688,5.959490624
3.87442216,5.434600438
3.159783393,4.644350702
1.704533262,3.974501273
2.314960395,4.665295115
2.62103913,5.438585365
2.479128183,6.494115744
1.973877668,3.57889705
2.908032819,3.467043418
3.718428546,5.459309311
1.856513877,5.01169706
2.365069597,5.192158263
3.346615926,4.933803989
3.613212909,4.898689237
3.523777736,5.794027478
3.693203328,4.396849067
3.398946597,4.331883344
2.3841474,5.139331886
2.456566119,3.903783348
3.012700958,4.448094455
3.093651151,4.791547158
1.935519431,5.331643683
2.562229198,4.18826066
2.717387633,3.865568373
3.033074424,5.057236333
0.071151673,4.617724904
3.846173383,4.9852782
3.793922103,4.077583665
2.818703299,3.1908494
2.583690934,5.01531461
3.527623629,5.894429934
2.762745147,4.607573706
3.750798011,5.743206633
2.353835687,5.109052527
1.941277395,4.190864433
2.631195324,5.477000226
4.838340901,6.557519108
3.632405622,5.261276391
3.904365702,4.146595858
1.325253247,6.369915478
2.129727516,5.583329668
2.456477095,6.637423815
1.614772542,4.492563307
4.823163523,3.05246388
2.841273752,4.862891491
2.642718087,5.368412689
2.38465084,5.012614868
3.854219914,6.047577273
3.773658545,5.400206531
2.996091682,3.849664652
3.603681821,4.072025675
2.76616,5.123905088
1.880039573,6.121568709
3.486474203,2.733089267
1.969969079,6.681300183
2.890924607,3.547590383
4.01837066,5.872193237
4.936565317,4.744383531
2.717233547,5.68577811
1.965851576,5.084711151
3.569209416,5.599843154
3.167867434,5.23385403
3.81515077,4.059573183
2.993660994,3.924987938
1.524061689,5.211279463
1.884278737,3.239206957
1.718253531,4.906546089
3.839090408,4.66663458
2.584953855,4.402484439
3.502014561,4.587652279
3.285883096,5.293030064
3.343633532,5.691279676
3.786928087,5.717044696
2.73935934,3.787850321
3.398323369,3.640060945
1.027661808,3.906845901
4.472067746,3.447144728
2.41934474,6.076128152
3.838917419,3.746238697
3.203406304,5.904997956
3.041377374,3.526697554
2.018403972,4.021664582
2.987826359,5.959545643
1.599612541,5.907891703
2.06047779,6.078339268
2.177654126,6.329218733
3.202031461,3.453273558
2.530010301,4.691938228
2.461471495,5.984459919
3.224312676,5.115939565
2.156707908,4.858770957
2.560651135,5.548561868
5.08856591,5.484771051
2.001663622,6.026779802
2.333352133,8.432467087
4.309931991,5.238392466
2.158942053,6.722144513
2.881110963,4.301278513
2.838231908,5.136632302
4.517418466,3.558353458
2.380295005,6.284629114
4.324043633,4.879601879
2.277393558,5.471441641
4.83776663,5.392070755
4.013586243,6.216482318
3.207129784,3.052556507
1.425771838,4.859816495
3.885205163,5.875181203
